keys,en
PROMPT_SWAP,[E]  Swap with %s
PROMPT_TURN_DIAL,[E]  Turn the dial
PROMPT_FIT_HANDLE,[E]  Fit the Skull Handle
PROMPT_TURN_LANTERN,[E]  Turn the lantern
PROMPT_FIT_SUN,[E]  Fit the Sun Lens
PROMPT_FIT_MOON,[E]  Fit the Moon Lens
PROMPT_LOCK,[E]  Turn the wheel forward     ·     [Right click]  Turn it back
OBJECTIVE_NOTE,Read the page on the desk beneath the window.
OBJECTIVE_SEARCH,The door is shut with a letter lock. Search the room.
OBJECTIVE_LOCK,Four letters. Set the lock on the door.
OBJECTIVE_LEAVE,Beyond the door hangs a painting of London. Step into it.
OBJECTIVE_END,London waits beyond the scenery.
NOTE_EYEBROW,YOU READ
PUT_DOWN,Lay It Down
SLOT_EMPTY,Nothing is there.
MIRROR_DIALS_LOCKED,The dials will not move. Below the mirror is an empty socket shaped like a skull.
MIRROR_NEEDS_HANDLE,An empty socket shaped like a small skull. A handle must belong here.
HANDLE_FITTED,"The Skull Handle clicks into place, and the cloth slides from the mirror."
LENS_FITTED,The lens slides home. A thin beam of light leaves the lantern.
LANTERN_NO_LENS_SUN,The sun lantern is dark. Its empty lens ring is tinted amber.
LANTERN_NO_LENS_MOON,The moon lantern is dark. Its empty lens ring is pale glass.
TAKEN_HANDLE,You pocket the Skull Handle.
TAKEN_MOON,You pocket the Moon Lens.
TAKEN_SUN,You pocket the Sun Lens.
SOLVED_AGES,The dial glows and a drawer slides open beneath it.
SOLVED_MIRROR,"The glass clouds over, and the cabinet’s lower door swings open."
SOLVED_MACBETH,Something pale is sitting in the empty chair. A drawer opens in the sideboard.
SOLVED_BALCONY,Both balconies light. The curtain rises and a walkway joins them.
SOLVED_LOCK,The shackle springs free. The door swings open.
AGES_SOCKET,the dial socket
AGES_INSPECT,"A brass dial with seven sockets, each holding a small carved token. A gold arrow above the top socket points clockwise."
MIRROR_DIAL,the symbol dial
MIRROR_DIAL_INSPECT,A brass dial with a carved symbol in its window. It clicks round through five symbols.
HANDLE_SOCKET_NAME,the skull-shaped socket
MIRROR_INSPECT,A tall cabinet with a mirror. Below the mirror are three symbol dials and a skull-shaped socket. Three props stand on top.
BANQUET_SEAT,the chair
MACBETH_INSPECT,"A toy banquet. Each chair back has one to four notches. A gold mark on the floor shows where to stand, and an arrow on the front edge points right."
LANTERN_SUN_NAME,the sun lantern
LANTERN_MOON_NAME,the moon lantern
BALCONY_INSPECT,"A model theatre: a balcony hung with roses on the left, one hung with ivy on the right, a black curtain between them. Two crossed lanterns stand in front, one topped with a gold sun disc, one with a pale crescent."
LOCK_WHEEL,the letter wheel
LOCK_INSPECT,A heavy lock with four lettered wheels.
ITEM_HANDLE_NAME,the Skull Handle
TAKE_HANDLE_INSPECT,A cabinet handle carved like a small skull.
ITEM_MOON_NAME,the Moon Lens
TAKE_MOON_INSPECT,A pale glass lens in an iron ring.
ITEM_SUN_NAME,the Sun Lens
TAKE_SUN_INSPECT,A warm amber lens in an iron ring.
TOKEN_CRADLE,the cradle token
TOKEN_SATCHEL,the satchel token
TOKEN_ROSE,the rose token
TOKEN_SWORD,the sword token
TOKEN_SCALES,the scales token
TOKEN_CANE,the cane token
TOKEN_CANDLE,the snuffed-candle token
FIGURE_HOST,the crowned host
FIGURE_COMPANION,the companion in the hat
FIGURE_GUEST,the guest
NOTE_TITLE,an unsigned letter
NOTE_INSPECT,A folded page lies on the desk in the candlelight.
NOTE_BODY,"Thou art not here by chance, but hither cast;
The door is barr’d, and barr’d shall be to last,
Till thou dost cry the word all mortals cry
When walls close in and none will make reply.
Four tales lie sleeping in this chamber’s keep:
A life upon a dial, wound full deep;
A witness in the glass; a feast of dread,
Where one chair waiteth for the risen dead;
Two houses that will never meet in light.
Each tale, once play’d, shall yield a letter right;
Count thou the marks beneath, to learn its place."
BOOKLET_TITLE,the book of the seven ages
BOOKLET_INSPECT,A small booklet lies open on the sideboard beneath the brass dial.
BOOKLET_BODY,"All the world’s a stage,
And one man in his time plays many parts,
His acts being seven ages, drawn in brass:
The Cradle first, wherein the infant cries;
The Satchel next, ’neath schoolboy’s sullen eyes;
The Rose, for lover sighing at the moon;
The Sword, the soldier’s quarrel, sudden, soon;
The Scales, the justice weighing right from wrong;
The Cane, the old man’s staff, his walk not long;
The Candle snuff’d, last scene of all, when light
Is gone, and second childhood brings the night.
Begin beneath the arrow wrought in gold,
And follow where it points, as time is told."
CARD_TITLE,a card within the glass
CARD_INSPECT,A card tucked into the corner of the mirror frame.
CARD_BODY,"Trust not thine eyes, for eyes may be deceiv’d;
The glass alone speaks true, and is believ’d.
What stands atop is set the wrongful way:
Read thou the mirror as its arrow lay,
From left to right the witness’ tale unfold,
And turn the dials as the glass hath told."
SHEET_TITLE,the order of the feast
SHEET_INSPECT,A sheet pinned to the red backdrop of the toy banquet.
SHEET_BODY,"The crownèd host upon the second seat;
His hatted fellow, one chair right, doth meet;
The guest upon the fourth. The first stands bare,
For one unbidden, whom none sees, sits there.
Count thou the notches carvèd on each back,
From left to right, as runs the arrow’s track."
DIAGRAM_TITLE,a lantern-maker’s sketch
DIAGRAM_INSPECT,A sketch lies on the table of the model theatre.
DIAGRAM_BODY,"The Sun doth love the Rose, and her alone;
The Moon doth keep the Ivy for her own.
Let each lamp find the house it holdeth dear,
For neither house will wake to other’s cheer.
Two lanterns crossèd stand, and there’s the art:
Give each its lens, and join them, heart to heart."
PAGE_BED_TITLE,a note beneath the pillow
PAGE_BED_INSPECT,A folded note sticks out from under the pillow.
PAGE_BED_BODY,"No sleep hath found me since the players fled.
By night the chairs do walk about my bed,
As if some unseen hand did block a scene;
This morn my pillow fac’d the door. What mean
These stirrings in a house where none doth dwell?"
PAGE_CUES_TITLE,a trampled cue sheet
PAGE_CUES_INSPECT,"A cue sheet lies on the rug, printed with boot marks."
PAGE_CUES_BODY,"Cue one: the candle. Cue the second: rain.
Cue three: the bridge doth fall, and fall again.
Cue four is torn away. And in the side,
Scratch’d in a hand that trembled as it tried:
Why doth the song grow swifter, night by night?"
PAGE_COSTUMES_TITLE,an inventory of costumes
PAGE_COSTUMES_INSPECT,A list lies on the costume trunk.
PAGE_COSTUMES_BODY,"One crown of tin, much dented by the fall;
One skull of plaster, grinning at the wall;
Two lanterns lacking lenses, dark and cold;
A gown for her who came not, as foretold;
One ghost, that will not learn his part, nor leave."
PAGE_WINDOW_TITLE,a note nail’d by the window
PAGE_WINDOW_INSPECT,A scrap of paper is nailed to the wall beside the painted window.
PAGE_WINDOW_BODY,"No hand did paint this window, so they swear;
No brush confesseth ever it was there.
And yet the moon within hath not once stirr’d
These eleven nights, nor wind nor bird is heard."
AGES_TITLE,The Seven Ages
MIRROR_TITLE,The Witness in the Mirror
MACBETH_TITLE,The Empty Seat
BALCONY_TITLE,Across the Divide
LOCK_TITLE,The letter lock
HINT,Reveal the Next Hint
HINT_AGES_1,Hint 1 / 3 — The book of the seven ages on the sideboard beneath the brass dial explains what each token means.
HINT_AGES_2,"Hint 2 / 3 — Start at the socket under the gold arrow and go clockwise through a life: cradle, satchel, rose, sword, scales, cane, snuffed candle."
HINT_AGES_3,"Hint 3 / 3 — Pick up a token with E, then press E on another socket to swap them. Top socket: cradle; then clockwise satchel, rose, sword, scales, cane, candle."
HINT_MIRROR_1,Hint 1 / 3 — The mirror cabinet needs the Skull Handle from the drawer under the brass dial. Then read the card within the glass.
HINT_MIRROR_2,"Hint 2 / 3 — Match the dials to the glowing shapes in the mirror, left to right. Ignore the props standing on top of the cabinet."
HINT_MIRROR_3,"Hint 3 / 3 — Set the dials, left to right: ear, crown, cup."
HINT_MACBETH_1,Hint 1 / 3 — Read the order of the feast pinned to the banquet backdrop. Count the seats by the notches on the chair backs.
HINT_MACBETH_2,"Hint 2 / 3 — The host sits on the two-notch chair, the companion on the chair to its right, the guest on four notches."
HINT_MACBETH_3,Hint 3 / 3 — One notch: empty. Two notches: crowned host. Three: the companion in the hat. Four: the guest.
HINT_BALCONY_1,Hint 1 / 3 — The lanterns need the Sun Lens from the banquet and the Moon Lens from the mirror cabinet. A lantern-maker’s sketch lies on the theatre table.
HINT_BALCONY_2,"Hint 2 / 3 — The sun lantern (gold disc) belongs to the rose balcony, the moon lantern (crescent) to the ivy balcony."
HINT_BALCONY_3,"Hint 3 / 3 — Fit both lenses, then press E on each lantern until its beam reaches the matching balcony."
HINT_LOCK_1,Hint 1 / 3 — Each finished story leaves a card with a letter. The marks beneath a letter give its place on the lock.
HINT_LOCK_2,"Hint 2 / 3 — One mark goes first, four marks last. The top of your journal shows every letter found so far."
HINT_LOCK_3,"Hint 3 / 3 — Turn the wheels to H, E, L, P."
HUD_CHAPTER_STREET,ACT II  /  THE CITY IS A STAGE
STATUS_STREET,ACT II  ·  THE CITY IS A STAGE
OBJECTIVE_LANE,An iron curtain closes Balcony Lane. The players are missing their props.
OBJECTIVE_SQUARE,A portcullis bars the Witches’ Square. The cauldron is waiting.
OBJECTIVE_BRIDGE,The drawbridge is raised. Something in the stones of London Bridge is waiting.
OBJECTIVE_CROSS,The drawbridge is down. Cross London Bridge.
PROMPT_BREW,[E]  Drop %s into the cauldron
PROMPT_LEVER,[E]  Pull the lever
BREW_ADDED,"It sinks, and the brew hisses."
BREW_SPOILED,The cauldron heaves and spits everything back onto the stall.
BREW_EMPTY_HANDS,The brew bubbles. Something from the stall belongs in it.
LEVER_WRONG,The engine groans and the lever springs back. The date must be wrong.
SOLVED_PROPS,"Stage lights blaze on the lovers, and the iron curtain rises."
SOLVED_BREW,Green smoke pours from the cauldron. The portcullis rattles upward.
SOLVED_BRIDGE,"Chains rattle, and the drawbridge swings down across the Thames."
PROP_CART,the prop cart
PROP_ROMEO,Romeo’s outstretched hand
PROP_JULIET,Juliet’s hand
PROP_FRIAR,Friar Laurence’s hand
PROPS_INSPECT,"Players frozen mid-scene, their hands empty. A prop cart stands against the wall."
CAULDRON,the cauldron
BREW_INSPECT,"Three witches lean over a bubbling cauldron, waiting for something to be added."
SHELF_SLOT,the stall shelf
SHELF_INSPECT,"Six stoppered jars on an apothecary stall, each with something grisly on the lid."
CALENDAR_MONTH,the month wheel
CALENDAR_DAY,the day wheel
BRIDGE_LEVER,the engine lever
ENGINE_INSPECT,The bridge engine: two calendar wheels and a heavy lever.
PROP_ROSE,the rose
PROP_LETTER,the sealed letter
PROP_VIAL,the vial
PROP_SKULL,the skull
PROP_CROWN,the tin crown
INGREDIENT_EYE,the eye of newt
INGREDIENT_TOE,the toe of frog
INGREDIENT_WOOL,the wool of bat
INGREDIENT_TONGUE,the tongue of dog
INGREDIENT_FEATHER,the raven feather
INGREDIENT_MANDRAKE,the mandrake root
PLAYBILL_TITLE,the playbill
PLAYBILL_INSPECT,A playbill pasted to the wall beside the prop cart.
PLAYBILL_BODY,"Tonight: the Lovers at the Window.
Let Romeo, who kneels, a Rose extend;
Fair Juliet the sealèd Letter tend;
Good Friar Laurence hold the Vial deep,
The potion that doth counterfeit a sleep.
The Skull and Crown to other plays belong;
Leave them upon the cart, or all goes wrong."
INCANTATION_TITLE,a torn page of spells
INCANTATION_INSPECT,A page nailed to the apothecary stall.
INCANTATION_BODY,"Eye of newt and toe of frog,
Wool of bat and tongue of dog.
One by one the cauldron fill,
As the words are spoke, or ill
Shall the brew cast back its fare.
Feather, root: let them lie there.
But mark: no pot will take its meat
Unless the fire burn at its heat.
Beside each sister, torn from this page,
The flame each morsel needs. Engage
The bellows, read what each doth keep,
And feed the fire, or brew shall weep.
And when the pot doth smoke and sing,
The lady in the bridge shall wake and bring
Her song to all who cross upon the stone."
TENDER_NOTE_TITLE,the bridgemaster’s orders
TENDER_NOTE_INSPECT,Orders pinned to the bridge engine.
TENDER_NOTE_BODY,"This bridge shall bow its iron head alone
Upon the day when Caesar’s doom was shown.
Set thou the month upon the leftward wheel,
The day upon the right, then pull the steel.
If thou forget the day, go ask of him
Who warns the great beside the river grim."
SOOTHSAYER_TITLE,the soothsayer’s scroll
SOOTHSAYER_INSPECT,A scroll on a lectern beside the soothsayer.
SOOTHSAYER_BODY,"Beware the ides of March!
I cried it once to Caesar in the street;
He heeded not, and fell at Pompey’s feet."
ALMANAC_TITLE,a leaf of the almanac
ALMANAC_INSPECT,"A page from an almanac, pinned beside the engine."
ALMANAC_BODY,"The Kalends is the first of every moon;
The Ides of March, of May, of July’s noon,
And of October fall upon fifteen;
All other months upon thirteen, I ween."
PROPS_TITLE,The Balcony Scene
BREW_TITLE,The Witches’ Brew
BRIDGE_TITLE,The Ides of March
HINT_PROPS_1,Hint 1 / 3 — Read the playbill on the wall beside the prop cart.
HINT_PROPS_2,"Hint 2 / 3 — Romeo gets the rose, Juliet the letter, Friar Laurence the vial. The skull and the crown stay on the cart."
HINT_PROPS_3,"Hint 3 / 3 — Pick up a prop from the cart with E, then press E on an actor’s empty hand. When all three hold the right prop, the curtain lifts."
HINT_BREW_1,Hint 1 / 3 — The torn page on the stall gives the order of the ingredients. Beside each witch a scrap is nailed to a crooked stake: walk round the cauldron and read all three.
HINT_BREW_2,Hint 2 / 3 — The scraps say how hot the fire must be for each ingredient. The bellows at the front of the cauldron move the fire from embers to a steady flame to a roaring blaze.
HINT_BREW_3,"Hint 3 / 3 — Eye of newt on embers, toe of frog on a roaring blaze, wool of bat on a steady flame, tongue of dog on a roaring blaze. The feather and the root stay on the shelf."
HINT_BRIDGE_1,"Hint 1 / 3 — Read the bridgemaster’s orders on the engine, then the soothsayer’s scroll."
HINT_BRIDGE_2,Hint 2 / 3 — Caesar was warned of the Ides of March. The almanac beside the engine says which day that is.
HINT_BRIDGE_3,"Hint 3 / 3 — Set the left wheel to MAR and the right wheel to 15, then pull the lever."
HUD_CHAPTER_SEWER,ACT III  /  THE PLAGUE BENEATH
HUD_CHAPTER_RIPPER,Whitechapel
STATUS_SEWER,ACT III  ·  THE PLAGUE BENEATH
STATUS_RIPPER,ACT III  ·  THE UNCAST SHADOW
OBJECTIVE_SEWER,You fell into the plague sewer. Find a way out.
OBJECTIVE_CRYPTS,Mark the crypts as the warrant bids.
OBJECTIVE_CLIMB,The gate is open. Climb the ladder.
OBJECTIVE_RIPPER,"Follow the Shadow while the gaslight fails. See him at every stop, then draw his road on the street plan at the Watch Post."
BRIDGE_FALLING,London Bridge is falling down…
SEWER_WAKE,You wake in filth and darkness. Something squeaks nearby.
RIPPER_ARRIVE,You haul yourself out into a fog-choked street.
SHADOW_SEEN,"A tall figure in a top hat stands in the fog, watching you."
SOLVED_PLAGUE,Stone grinds on stone. The iron gate rises.
CRYPT_MARKED,You daub a red cross on the door.
CRYPT_SCRUBBED,You scrub the cross away.
CRYPT_NO_BRUSH,A plague door. You have nothing to mark it with.
PROMPT_MARK,[E]  Paint a plague cross
PROMPT_SCRUB,[E]  Scrub the cross away
PROMPT_CLIMB,[E]  Climb the ladder
CRYPT_ROSE,the crypt of the rose
CRYPT_CROWN,the crypt of the crown
CRYPT_IVY,the crypt of the ivy
CRYPT_BELL,the crypt of the bell
CRYPT_INSPECT,A crypt door with a carved crest above it. Plague-men mark such doors with red crosses.
ITEM_BRUSH_NAME,the paint brush
TAKE_BRUSH_INSPECT,A brush standing in a pot of red paint.
ITEM_BRUSH,"Plague brush — wet with red paint, for marking doors."
LADDER,the ladder
LADDER_INSPECT,Iron rungs climb toward a grate and a sliver of night sky.
PLAGUE_TITLE,A Plague o’ Both Your Houses
HINT_PLAGUE_1,"Hint 1 / 3 — Read the warrant on the lectern near the plague doctors, and take the brush from the pot of red paint."
HINT_PLAGUE_2,Hint 2 / 3 — The feud was between the Capulets (the rose) and the Montagues (the ivy). The crown and bell crypts stay clean.
HINT_PLAGUE_3,"Hint 3 / 3 — Paint a cross on the rose crypt and the ivy crypt, and nowhere else. Press E again on a door to scrub a wrong cross."
WARRANT_TITLE,the plague-master’s warrant
WARRANT_INSPECT,A warrant lies on the plague doctors’ lectern.
WARRANT_BODY,"“A plague o’ both your houses!” so he cried,
Young Mercutio, who for their quarrel died.
Mark thou the houses twain that bred such hate:
The Rose of Capulet, the Ivy gate
Of Montague. The Crown and Bell spare thou,
For they had naught to do with that old vow.
When both are cross’d in red, as plague-men do,
The gate shall rise and let the living through."
PLAGUE_BILL_TITLE,a bill of mortality
PLAGUE_BILL_INSPECT,A bill pasted to the sewer wall.
PLAGUE_BILL_BODY,"This week the bells have toll’d for many more;
Red crosses bloom on every stricken door.
The rats grow fat, the doctors walk in beaks,
And none hath heard the living here for weeks."
SHADOW_LETTER_TITLE,the constable’s notice
SHADOW_LETTER_INSPECT,A police notice pasted beside the Watch Post door.
SHADOW_LETTER_BODY,"When gaslight gutters, then he walks abroad;
When lamps burn full, he stands as still as stone.
From this same Post he sets upon his road,
And stops six times, and every time alone.
Stand where thine eyes may find him at each halt,
For I’ll not send a guess to Scotland Yard.
Then on my plan, in order, trace his walk,
And I shall lift the bar from Mourning Gate.
He comes again, if once thou lose his trail —
But who would walk his road, and not grow pale?"
TRINKET_TAKEN,You pick up %s.
TRINKET_INSPECT,"Of no use to anyone, but it has a pleasing weight. Press Q to throw it."
TRINKET_APPLE,an apple
TRINKET_PEAR,a pear
TRINKET_BREAD,a loaf of bread
TRINKET_BOTTLE,a bottle
TRINKET_TANKARD,a pewter tankard
TRINKET_BOOK,a book
TRINKET_CABBAGE,a cabbage
TRINKET_FISH,a fish
TRINKET_CANDLE,a candle stub
TRINKET_BONE,a bone
TRINKET_CUP,a cup
TRINKET_COIN,a coin purse
PROMPT_KNOCK,[E]  Knock
PROMPT_WELL,[E]  Draw water
PROMPT_BELL,[E]  Ring the bell
DOOR_NAME,the door
DOOR_INSPECT,A painted front door with a brass knob.
KNOCK_SILENCE,You knock. Nobody answers.
KNOCK_BUSY,"“Not today, we’re rehearsing!”"
KNOCK_DOG,A dog barks somewhere inside.
KNOCK_LATER,“Come back after the second act!”
KNOCK_WHO,“Who goes there?” Then silence.
WELL_NAME,the well
WELL_INSPECT,A stone well with a wooden winch.
WELL_USED,"You haul up a bucket of cold, clear water."
BELL_NAME,the market bell
BELL_INSPECT,A brass bell hung from a post in the square.
BELL_RUNG,DONG! The pigeons burst into the sky.
PAINTING_NAME,the painting of London
PAINTING_INSPECT,"London on a spring morning: bright houses, bunting, and a bridge over a blue river. The paint looks wet."
PROMPT_PAINTING,[E]  Step into the painting
PAINTING_ENTERED,"The paint gives way like water, and you are standing in the sunshine."
WITCHES_SINGING,"Somewhere ahead, three voices are singing a nursery rhyme."
LADY_RISES,Something is knocking from inside the bricked-up arch in the parapet.
LADY_SINGS,"She drags herself toward you across the stones, singing."
CONFESSION_TITLE,the mason’s confession
CONFESSION_INSPECT,A weathered tablet set into the gatehouse wall.
CONFESSION_BODY,"When first we built this bridge, it would not stand;
The river tore each stone out of our hand.
Then spake the master: “Give the flood its due.”
We took a maid, a child of years but few,
And walled her in the pier, and sang the while
That London Bridge should stand a thousand mile.
“Set a man to watch,” we sang, “all night.”
Her key we cast away beyond all sight.
My fair lady sleeps beneath the arch;
The witches sing to wake her, and she’ll march.
Whoever treads her bridge when she doth wake
Shall fall with London Bridge, for her sake."
JOURNAL,Journal & Belongings
JOURNAL_EYEBROW,WHAT THE ROOM HAS TOLD YOU
JOURNAL_LETTERS,LETTERS FOUND
JOURNAL_HINTS,HINTS
JOURNAL_PAGES,LOOSE PAGES
JOURNAL_EMPTY,Read the page on the desk to begin.
INVENTORY_HEADING,BELONGINGS
INVENTORY_EMPTY,Your pockets are empty.
ITEM_HANDLE,Skull Handle — a cabinet handle carved like a small skull.
ITEM_MOON,Moon Lens — pale glass in an iron ring.
ITEM_SUN,Sun Lens — warm amber glass in an iron ring.
HANDLE_INSTALLED,Skull Handle — fitted in the mirror cabinet.
MOON_INSTALLED,Moon Lens — fitted in the moon lantern.
SUN_INSTALLED,Sun Lens — fitted in the sun lantern.
END_EYEBROW,LONDON IS FALLING  ·  CHAPTER COMPLETE
END_TITLE,The Last Train
END_BODY,"The repaired train pulls away. Behind you, the house, the stars and the shadows disappear into the tunnel.

You have escaped London Is Falling."
END_LOOK,Return to the Platform
OBJECTIVE_RIPPER_EXIT,The constable has unbarred the Mourning Gate. Leave Whitechapel through it.
SHADOW_TITLE,The False Exit
SHADOW_LAMP,the constable’s street plan
SHADOW_LAMP_INSPECT,"A street plan of the district, pinned to the Watch Post desk. The constable wants the Shadow’s road, stop by stop."
SHADOW_SHUTTER,Passage shutter
SHADOW_WRONG,The gate stays barred. The constable wants a road you have seen with your own eyes.
SOLVED_SHADOW,"The constable reads your report twice, and unbars the Mourning Gate."
HINT_SHADOW_1,"Hint 1 / 3 — Read the notice beside the Watch Post door. The Shadow only moves while the lamps flicker and dim, and he starts from the Watch Post."
HINT_SHADOW_2,"Hint 2 / 3 — Follow him at a distance and keep him in view whenever he stops beside a landmark sign. Each real sighting is confirmed on screen. If you lose him, wait: his circuit starts again at the Watch Post."
HINT_SHADOW_3,"Hint 3 / 3 — His road: Cooper’s Yard, Bell Passage, Chapel Steps, Widow’s Well, Tanner’s Row, Mourning Gate. See all six, then mark them in that order on the street plan."
SHADOW_AIM_0,The lantern lights the left passage. Its shadow breaks at a painted seam.
SHADOW_PASSAGE_0,The left passage. A painted seam interrupts its shadow before the brass marker.
SHADOW_AIM_1,The lantern lights the middle passage. Its shadow reaches the brass marker without a break.
SHADOW_PASSAGE_1,The middle passage. A continuous shadow joins its threshold to the brass marker. Light it and pull this shutter.
SHADOW_AIM_2,The lantern lights the right passage. Its shadow breaks at a painted seam.
SHADOW_PASSAGE_2,The right passage. A painted seam interrupts its shadow before the brass marker.
HUD_CHAPTER_COURTYARD,ACT IV  /  THE HOUSE THAT REMEMBERS
HUD_CHAPTER_NURSERY,ACT IV  /  THE UNCOUNTED STARS
HUD_CHAPTER_METROPOLITAN,ACT V  /  METROPOLITAN RAILWAY
STATUS_COURTYARD,The house in the back court
STATUS_NURSERY,The uncounted stars
STATUS_METROPOLITAN,Metropolitan Railway
OBJECTIVE_COURTYARD,Climb the back stairs. Read the record inside the house.
OBJECTIVE_DYER_FALL,The record is yours. Follow the broken floorboards deeper into the house.
OBJECTIVE_STARS,"Study the sky, the four keepers and their inscriptions. Align their sight; test the central seal."
OBJECTIVE_STAR_WALK,The keepers are aligned. Decode their back marks and walk the four-part seal.
OBJECTIVE_STAR_EXIT,The nursery door is open. Descend to the Metropolitan Railway.
OBJECTIVE_METROPOLITAN,"Repair the locomotive. Set the two gauges, release the brake and prepare to depart."
ARRIVE_COURTYARD,A bolt slams behind you. Whitechapel gives way to a back court; a stair leads into another year.
ARRIVE_NURSERY,"The narrow passage opens into a vast room. Where the roof should be, six constellations watch the empty cots."
ARRIVE_METROPOLITAN,"Steam, warm iron, gaslight. The Metropolitan Railway: London, 1863."
DYER_FLOOR_GIVES,The boards sag beneath you. The room opens into a sky that should not be there.
DYER_READ_FIRST,"A record lies on the table. This house has a name, and a history."
DYER_RECORD_TITLE,The house at Reading
DYER_RECORD_BODY,"From London’s fog to Reading art thou led;
Here Dyer’s promise offered board and bed.
For pay she took the infants into care;
Yet murder hid behind that promise fair.
In eighteen ninety-six her crimes were tried;
The court found murder where her words had lied.
These empty cots remember trust betrayed;
The house below is memory remade."
STAR_RULES_TITLE,The watchers’ law
STAR_RULES_BODY,"Six figures burn; their lesser sparks ignore.
Count but the linked stars watched by keepers four.
No pair may claim one figure of the night;
Their sum is three-and-twenty points of light.
Sun, Tide look forth; Moon, Ash look o’er the shoulder;
Turn each until its sight doth meet its holder.
The brass beneath records which way they face;
Press thou the seal to judge all four in place."
STAR_COVENANT_TITLE,The covenant of four
STAR_COVENANT_BODY,"The Sun hath two more stars than Tide can see;
The Ash hath one more star than Moon’s decree.
Tide counts the fewest of the chosen four;
No watcher shares the heaven of one more.
The sum upon the seal binds every light;
Their faces may deceive thee in the night."
STAR_WALK_TITLE,What the watchers conceal
STAR_WALK_BODY,"When all four sights are true, let footsteps speak;
The marks upon their backs are what ye seek.
From fewest stars to most, the keepers read;
Their back-marks, not their heavens, guide thy tread.
Four stones in order wake the buried door;
Step clear between, and wait for naught before.
A stranger stone unthreads thy steps alone;
The watchers keep the truth already known."
STAR_ATLAS_TITLE,The six figures of the night
STAR_ATLAS_BODY,"Three points a Triangle in heaven make;
Four shape the Diamond where the pale lights wake.
Five crown the sky; six turn the Key of night;
Seven frame the Eye that keeps its inward light.
Eight weave the Serpent where the heavens bend;
The lesser, lonely stars no count shall lend."
RAILWAY_HISTORY_TITLE,The railway under London
RAILWAY_HISTORY_BODY,"In eighteen sixty-three the trains were run
Beneath the streets, away from London’s sun.
On January’s tenth the public came;
The Metropolitan bore forth its name.
From Paddington to Farringdon they rode;
With steam and gas the buried passage glowed.
The first such railway bore the city through;
An older year now opens unto you."
CELESTIAL_TITLE,The Uncounted Stars
HINT_CELESTIAL_1,"Read all four nursery texts. Count the connected stars, inspect the keepers from both sides, and note the sum XXIII on the central seal. Nothing needs to be carried."
